Id,BrigadeNumber,Line,Vehicle,StartDepotTime
1,1,3,2801,04:00
2,2,3,2802,04:05
3,3,3,2803,04:10
4,4,3,2804,04:15
5,5,3,2805,04:20
6,6,3,2806,04:25
7,7,3,2807,04:30
8,8,3,2808,04:35
9,9,3,2809,04:40
10,10,3,2810,04:45
11,1,5,2811,04:03
12,2,5,2812,04:08
13,3,5,2813,04:13
14,4,5,2814,04:18
15,5,5,2815,04:23
16,6,5,2816,04:28
17,7,5,2817,04:33
18,8,5,2818,04:38
19,9,5,2819,04:43
20,10,5,2820,04:48
21,1,20,2821,04:06
22,2,20,2822,04:11
23,3,20,3201,04:16
24,4,20,3202,04:21
25,5,20,3203,04:26
26,6,20,3204,04:31
27,7,20,3205,04:36
28,8,20,3206,04:41
29,9,20,3207,04:46
30,10,20,3208,04:51
