Id,Brygada,Linia,Id(Pojazdu),CzasStartu
1,1,100,5401,04:00
2,2,100,5402,04:05
3,3,100,5403,04:10
4,4,100,5404,04:15
5,5,100,5405,04:20
6,6,100,5406,04:25
7,7,100,5407,04:30
8,8,100,5408,04:35
9,1,101,5409,04:03
10,2,101,5410,04:08
11,3,101,5411,04:13
12,4,101,5412,04:18
13,5,101,5413,04:23
14,6,101,5414,04:28
15,7,101,5415,04:33
16,8,101,5416,04:38
17,1,102,5417,04:06
18,2,102,5418,04:11
19,3,102,5419,04:16
20,4,102,5420,04:21
21,5,102,5421,04:26
22,6,102,5422,04:31
23,7,102,5423,04:36
24,8,102,5424,04:41
25,1,103,5425,04:09
26,2,103,5426,04:14
27,3,103,5427,04:19
28,4,103,5428,04:24
29,5,103,5429,04:29
30,6,103,5430,04:34
31,7,103,5431,04:39
32,8,103,5432,04:44
33,1,104,5433,04:12
34,2,104,5434,04:17
35,3,104,5435,04:22
36,4,104,5436,04:27
37,5,104,5437,04:32
38,6,104,5438,04:37
39,7,104,5439,04:42
40,8,104,5440,04:47
41,1,105,5441,04:15
42,2,105,5442,04:20
43,3,105,5443,04:25
44,4,105,5444,04:30
45,5,105,5601,04:35
46,6,105,5602,04:40
47,7,105,5603,04:45
48,8,105,5604,04:50
49,1,106,5605,04:18
50,2,106,5606,04:23
51,3,106,5607,04:28
52,4,106,5608,04:33
53,5,106,5609,04:38
54,6,106,5610,04:43
55,7,106,5611,04:48
56,8,106,5612,04:53
57,1,107,5613,04:21
58,2,107,5614,04:26
59,3,107,5615,04:31
60,4,107,5616,04:36
61,5,107,5617,04:41
62,6,107,5618,04:46
63,7,107,6001,04:51
64,8,107,6002,04:56
65,1,108,6003,04:24
66,2,108,6004,04:29
67,3,108,6005,04:34
68,4,108,6006,04:39
69,5,108,6007,04:44
70,6,108,6008,04:49
71,7,108,6009,04:54
72,8,108,6010,04:59
73,1,110,6011,04:27
74,2,110,6012,04:32
75,3,110,6013,04:37
76,4,110,7300,04:42
77,5,110,7301,04:47
78,6,110,7302,04:52
79,7,110,7303,04:57
80,8,110,7304,05:02
81,1,111,7305,04:30
82,2,111,7306,04:35
83,3,111,7307,04:40
84,4,111,7308,04:45
85,5,111,7309,04:50
86,6,111,7310,04:55
87,7,111,7311,05:00
88,8,111,7312,05:05
89,1,112,7313,04:33
90,2,112,7314,04:38
91,3,112,7315,04:43
92,4,112,7316,04:48
93,5,112,7317,04:53
94,6,112,7318,04:58
95,7,112,7319,05:03
96,8,112,7320,05:08
97,1,113,7321,04:36
98,2,113,7322,04:41
99,3,113,7323,04:46
100,4,113,7324,04:51
101,5,113,7325,04:56
102,6,113,7326,05:01
103,7,113,7327,05:06
104,8,113,7328,05:11
105,1,114,7329,04:39
106,2,114,7330,04:44
107,3,114,7331,04:49
108,4,114,7332,04:54
109,5,114,7333,04:59
110,6,114,7334,05:04
111,7,114,7335,05:09
112,8,114,7336,05:14
113,1,115,7337,04:42
114,2,115,7338,04:47
115,3,115,7339,04:52
116,4,115,7340,04:57
117,5,115,7341,05:02
118,6,115,7342,05:07
119,7,115,7343,05:12
120,8,115,7344,05:17
121,1,116,7345,04:45
122,2,116,7346,04:50
123,3,116,7347,04:55
124,4,116,7348,05:00
125,5,116,7349,05:05
126,6,116,7350,05:10
127,7,116,7351,05:15
128,8,116,7352,05:20
129,1,117,7353,04:48
130,2,117,7354,04:53
131,3,117,7355,04:58
132,4,117,7356,05:03
133,5,117,7357,05:08
134,6,117,7401,05:13
135,7,117,7402,05:18
136,8,117,7403,05:23
137,1,118,7404,04:51
138,2,118,7405,04:56
139,3,118,7406,05:01
140,4,118,7407,05:06
141,5,118,7408,05:11
142,6,118,7409,05:16
143,7,118,7410,05:21
144,8,118,7411,05:26
145,1,119,7412,04:54
146,2,119,7413,04:59
147,3,119,7414,05:04
148,4,119,7415,05:09
149,5,119,7416,05:14
150,6,119,7417,05:19
151,7,119,7418,05:24
152,8,119,7419,05:29
153,1,120,7420,04:57
154,2,120,7421,05:02
155,3,120,7422,05:07
156,4,120,7423,05:12
157,5,120,7424,05:17
158,6,120,7425,05:22
159,7,120,7426,05:27
160,8,120,7427,05:32
161,1,121,7428,05:00
162,2,121,7429,05:05
163,3,121,7430,05:10
164,4,121,7431,05:15
165,5,121,7432,05:20
166,6,121,7433,05:25
167,7,121,7434,05:30
168,8,121,7435,05:35
169,1,122,7436,05:03
170,2,122,7437,05:08
171,3,122,7438,05:13
172,4,122,7439,05:18
173,5,122,7440,05:23
174,6,122,7441,05:28
175,7,122,7442,05:33
176,8,122,7443,05:38
177,1,123,7444,05:06
178,2,123,7445,05:11
179,3,123,7446,05:16
180,4,123,7447,05:21
181,5,123,7448,05:26
182,6,123,7449,05:31
183,7,123,7450,05:36
184,8,123,7451,05:41
185,1,124,8300,05:09
186,2,124,8301,05:14
187,3,124,8302,05:19
188,4,124,8303,05:24
189,5,124,8304,05:29
190,6,124,8305,05:34
191,7,124,8306,05:39
192,8,124,8307,05:44
193,1,125,8308,05:12
194,2,125,8309,05:17
195,3,125,8310,05:22
196,4,125,8311,05:27
197,5,125,8312,05:32
198,6,125,8313,05:37
199,7,125,8314,05:42
200,8,125,8315,05:47
201,1,126,8316,05:15
202,2,126,8317,05:20
203,3,126,8318,05:25
204,4,126,8319,05:30
205,5,126,8320,05:35
206,6,126,8321,05:40
207,7,126,8322,05:45
208,8,126,8323,05:50
209,1,127,8324,05:18
210,2,127,8325,05:23
211,3,127,8326,05:28
212,4,127,8327,05:33
213,5,127,8328,05:38
214,6,127,8329,05:43
215,7,127,8330,05:48
216,8,127,8331,05:53
217,1,128,8332,05:21
218,2,128,8333,05:26
219,3,128,8334,05:31
220,4,128,8335,05:36
221,5,128,8336,05:41
222,6,128,8337,05:46
223,7,128,8338,05:51
224,8,128,8339,05:56
225,1,129,8340,05:24
226,2,129,8341,05:29
227,3,129,8401,05:34
228,4,129,8402,05:39
229,5,129,8403,05:44
230,6,129,8404,05:49
231,7,129,8405,05:54
232,8,129,8406,05:59
233,1,130,8407,05:27
234,2,130,8408,05:32
235,3,130,8409,05:37
